地区,2023年,2022年,2021年,2020年,2019年
北京市,,41540.9,41045.6,35943.3,35445.1
天津市,,16132.2,15685.1,14008,14055.5
河北省,,41988,40397.1,36013.8,34978.6
山西省,,25583.9,22870.4,17835.6,16961.6
内蒙古自治区,,23388.9,21166,17258,17212.5
辽宁省,,28826.1,27569.5,25011.4,24855.3
吉林省,,12818.1,13163.8,12256,11726.8
黑龙江省,,15831.5,14858.2,13633.4,13544.4
上海市,,44809.1,43653.2,38963.3,37987.6
江苏省,,122089.3,117392.4,102807.7,98656.8
浙江省,,78060.6,74040.8,64689.1,62462
安徽省,,44607.7,42565.2,38061.5,36845.5
福建省,,51765.1,49566.1,43608.6,42326.6
江西省,,31213.8,29827.8,25782,24667.3
山东省,,87576.9,82875.2,72798.2,70540.5
河南省,,58220.1,58071.4,54259.4,53717.8
湖北省,,52741.7,50091.2,43004.5,45429
湖南省,,47558.6,45713.5,41542.6,39894.1
广东省,,129513.6,124719.5,111151.6,107986.9
广西壮族自治区,,26186.1,25209.1,22120.9,21237.1
海南省,,6889.6,6504.1,5566.2,5330.8
重庆市,,28576.1,28077.3,25041.4,23605.8
四川省,,56610.2,54088,48501.6,46363.8
贵州省,,20010.4,19458.6,17860.4,16769.3
云南省,,28556.1,27161.6,24555.7,23223.8
西藏自治区,,2150.2,2080.2,1902.7,1697.8
陕西省,,32838.2,30121.7,26014.1,25793.2
甘肃省,,11121.4,10225.5,8979.7,8718.3
青海省,,3623.3,3385.1,3009.8,2941.1
宁夏回族自治区,,5104.6,4588.2,3956.3,3748.5
新疆维吾尔自治区,,18042.7,16311.6,13800.7,13597.1
数据来源：国家统计局,,,,,
